tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,speedup_vs_naive_mean,centroid_run_ms_mean,naive_bfs_run_ms_mean,speedup_vs_naive_std,centroid_run_ms_std,naive_bfs_run_ms_std
path,balanced,8600,50000,7445.0,42555.0,17.469,3.041,41.416,0.38,362.664,13.148,116.13,944048.0,43000.0,559512.0,13.814666666666668,3.1126666666666662,42.907999999999994,1.651224495134848,0.15177066031790634,4.27971354181562
path,balanced,8700,50000,7426.0,42574.0,18.454,3.195,40.889,0.382,362.807,12.991,112.713,956548.0,43500.0,566012.0,12.820666666666668,3.1936666666666667,40.937333333333335,0.38673806812018524,0.04601449047129971,0.8695080984863389
path,balanced,8800,50000,7561.0,42439.0,18.561,3.404,41.787,0.367,355.48,12.275,112.501,969048.0,44000.0,572512.0,12.437,3.330666666666667,41.32633333333333,1.0385201009128322,0.14828800805639442,1.756895367781856
path,balanced,8900,50000,7550.0,42450.0,17.344,3.377,41.834,0.35,365.485,11.711,103.507,981548.0,44500.0,579012.0,13.589999999999998,3.411,46.07633333333333,4.4515809551214485,0.1469795904198949,13.625181258733159
path,balanced,9000,50000,7498.0,42502.0,21.221,3.549,45.37,0.386,367.749,12.567,103.615,994048.0,45000.0,585512.0,12.892000000000001,3.5563333333333333,45.797,1.1088169371000798,0.2270888225636245,4.147020255556992
path,balanced,9100,50000,7610.0,42390.0,18.846,3.203,43.736,0.372,368.972,13.966,121.205,1006548.0,45500.0,592012.0,13.899333333333333,3.1313333333333335,43.51766666666666,0.2274496281230924,0.12586633121424207,1.7199250952682053
path,balanced,9200,50000,7427.0,42573.0,19.654,3.222,42.591,0.362,365.824,12.907,110.225,1019048.0,46000.0,598512.0,12.941,3.300666666666667,42.68833333333333,0.3432652035962872,0.15390040069256947,1.1480985730037871
path,balanced,9300,50000,7513.0,42487.0,19.927,3.374,42.589,0.452,382.31,12.605,113.304,1031548.0,46500.0,605012.0,12.382666666666667,3.513666666666667,43.12366666666667,1.6517609794801833,0.4394727902081464,3.580070017937263
path,balanced,9400,50000,7548.0,42452.0,22.352,3.126,47.888,0.391,386.69,15.32,113.727,1044048.0,47000.0,611512.0,14.621333333333334,3.3840000000000003,48.002,2.4702482331404134,0.8962962679828586,3.976225848716338
path,balanced,9500,50000,7496.0,42504.0,19.134,3.483,47.111,0.368,389.906,13.288,109.521,503808.0,47500.0,618012.0,13.439666666666668,3.5246666666666666,47.14566666666666,1.2185993325672446,0.28578721688230463,0.8755148961230376
path,balanced,9600,50000,7487.0,42513.0,19.948,3.174,45.922,0.417,389.15,14.469,117.76,1069048.0,48000.0,624512.0,14.982666666666667,3.217333333333334,48.252,1.0232557516737135,0.07592320681671282,4.468539358671914
path,balanced,9700,50000,7559.0,42441.0,20.32,3.392,47.889,0.419,389.992,13.759,114.964,1081548.0,48500.0,631012.0,13.961666666666668,3.4636666666666667,48.18566666666667,1.230580892641087,0.23677908128323627,1.6777879285932822
path,balanced,9800,50000,7484.0,42516.0,21.67,3.542,51.465,0.391,396.891,14.801,112.059,1094048.0,49000.0,637512.0,15.142333333333335,3.433666666666667,51.510333333333335,2.1385287777659983,0.43669707273272795,4.798160619793105
path,balanced,9900,50000,7403.0,42597.0,20.699,3.341,47.024,0.515,401.245,13.917,118.956,1106548.0,49500.0,644012.0,13.995333333333335,3.358333333333333,46.99666666666667,0.27693741771984104,0.05124776417887246,0.8063475264012022
path,balanced,10000,50000,7583.0,42417.0,22.355,3.974,48.489,0.449,385.634,12.2,98.004,1119048.0,50000.0,650512.0,12.995,3.9499999999999997,50.092999999999996,3.127230244161758,0.6063563308814379,4.1390594342193205
path,balanced,10100,50000,7565.0,42435.0,21.854,3.563,50.968,0.549,399.541,14.305,111.861,1131548.0,50500.0,657012.0,14.223333333333334,3.5736666666666665,50.754333333333335,1.2345275749586695,0.09246260505379092,3.108013245360021
path,balanced,10200,50000,7517.0,42483.0,21.904,3.463,48.797,0.433,395.517,14.091,113.455,1144048.0,51000.0,663512.0,15.201666666666668,3.3106666666666666,49.842000000000006,2.5105669346451083,0.2893273808911514,3.5594697638833823
path,balanced,10300,50000,7535.0,42465.0,24.648,3.3,50.219,0.432,404.475,15.218,113.19,1156548.0,51500.0,670012.0,18.36,2.9819999999999998,50.44866666666667,7.176838022416278,0.9011143101737982,1.661448263814836
path,balanced,10400,50000,7512.0,42488.0,21.797,3.39,53.051,0.433,411.243,15.651,121.325,1169048.0,52000.0,676512.0,15.564333333333332,3.437333333333333,53.42333333333334,1.381041032458244,0.08989067434018573,3.5471862557995677
path,balanced,10500,50000,7526.0,42474.0,26.188,3.98,67.95,0.654,413.62,17.126,103.927,1181548.0,52500.0,683012.0,15.580666666666666,4.498666666666667,68.14999999999999,3.2202612212883186,0.9087691309311368,2.3483960483700326
